Chart,1
Chart,4
Chart,5
Chart,7
Chart,8
Chart,9
Chart,11
Chart,13
Chart,17
Chart,20
Chart,24
Cli,5
Cli,8
Cli,11
Cli,17
Cli,25
Cli,28
Cli,32
Cli,40
Closure,6
Closure,10
Closure,11
Closure,13
Closure,14
Closure,18
Closure,31
Closure,38
Closure,40
Closure,46
Closure,52
Closure,61
Closure,62
Closure,65
Closure,70
Closure,73
Closure,77
Closure,78
Closure,86
Closure,92
Closure,101
Closure,115
Closure,122
Closure,123
Closure,126
Closure,152
Closure,168
Codec,2
Codec,3
Codec,4
Codec,7
Codec,8
Codec,9
Codec,16
Codec,17
Codec,18
Collections,26
Compress,1
Compress,13
Compress,19
Compress,23
Compress,27
Compress,30
Compress,31
Compress,38
Compress,46
Compress,47
Csv,2
Csv,4
Csv,8
Csv,9
Csv,11
Csv,14
Gson,12
Gson,13
Gson,15
JacksonCore,4
JacksonCore,5
JacksonCore,8
JacksonCore,14
JacksonCore,25
JacksonDatabind,12
JacksonDatabind,16
JacksonDatabind,27
JacksonDatabind,34
JacksonDatabind,41
JacksonDatabind,70
JacksonDatabind,71
JacksonDatabind,83
JacksonDatabind,99
JacksonDatabind,101
JacksonDatabind,102
JacksonXml,5
Jsoup,1
Jsoup,6
Jsoup,16
Jsoup,17
Jsoup,24
Jsoup,25
Jsoup,33
Jsoup,40
Jsoup,41
Jsoup,43
Jsoup,45
Jsoup,51
Jsoup,54
Jsoup,62
Jsoup,68
Jsoup,77
Jsoup,88
Jsoup,90
Lang,10
Lang,14
Lang,16
Lang,20
Lang,21
Lang,22
Lang,24
Lang,29
Lang,33
Lang,40
Lang,44
Lang,49
Lang,55
Lang,57
Lang,58
Lang,59
Lang,60
Math,2
Math,22
Math,27
Math,30
Math,32
Math,33
Math,34
Math,41
Math,46
Math,50
Math,56
Math,57
Math,59
Math,65
Math,70
Math,72
Math,73
Math,75
Math,77
Math,79
Math,80
Math,82
Math,85
Math,89
Math,91
Math,94
Math,96
Math,101
Math,104
Mockito,1
Mockito,5
Mockito,26
Mockito,29
Mockito,34
Mockito,38
Time,19
Time,27
