framework,project,bug_id,bug_type,ppc,rc,fppt,uts,mts,errtf,errce,tpc,comment
humanevaljava,humanevaljava,ADD,BF,7,5047,2,0,0,7,
humanevaljava,humanevaljava,ADD_ELEMENTS,BF,11,17105,5,1,1,13,
humanevaljava,humanevaljava,ADD_EVEN_AT_ODD,BF,16,13340,4,0,0,16,
humanevaljava,humanevaljava,ALL_PREFIXES,BF,3,8055,4,0,0,3,
humanevaljava,humanevaljava,ANTI_SHUFFLE,BF,10,13834,3,0,1,10,
humanevaljava,humanevaljava,ANY_INT,BF,14,15070,4,0,0,14,
humanevaljava,humanevaljava,BELOW_THRESHOLD,BF,14,15568,5,0,0,14,
humanevaljava,humanevaljava,BELOW_ZERO,BF,3,8487,6,4,2,12,
humanevaljava,humanevaljava,BF,BF,13,26198,5,2,0,17,
humanevaljava,humanevaljava,BY_LENGTH,BF,15,27330,5,0,0,15,
humanevaljava,humanevaljava,CAN_ARRANGE,BF,11,14364,5,2,0,15,
humanevaljava,humanevaljava,CAR_RACE_COLLISION,BF,6,8773,3,0,1,7,
humanevaljava,humanevaljava,CHANGE_BASE,BF,17,15188,5,0,0,17,
humanevaljava,humanevaljava,CHECK_DICT_CASE,BF,16,27719,6,2,0,20,
humanevaljava,humanevaljava,CHECK_IF_LAST_CHAR_IS_A_LETTER,BF,5,15064,5,8,0,21,
humanevaljava,humanevaljava,CHOOSE_NUM,BF,12,12686,5,2,0,16,
humanevaljava,humanevaljava,CIRCULAR_SHIFT,BF,6,17353,6,9,1,25,
humanevaljava,humanevaljava,CLOSEST_INTEGER,BF,8,16391,5,5,0,18,
humanevaljava,humanevaljava,COMMON,BF,16,22699,4,0,0,16,
humanevaljava,humanevaljava,COMPARE,BF,9,13369,5,0,1,10,
humanevaljava,humanevaljava,COMPARE_ONE,BF,21,30521,7,0,0,21,
humanevaljava,humanevaljava,CONCATENATE,BF,16,10346,4,0,0,16,
humanevaljava,humanevaljava,CORRECT_BRACKETING,BF,16,14874,5,0,0,16,
humanevaljava,humanevaljava,COUNT_DISTINCT_CHARACTERS,BF,5,7725,3,1,0,7,
humanevaljava,humanevaljava,COUNT_NUMS,BF,1,248951,226,205,5,2125,
humanevaljava,humanevaljava,COUNT_UPPER,BF,11,10984,3,0,1,11,
humanevaljava,humanevaljava,COUNT_UP_TO,BF,16,18357,4,0,0,16,
humanevaljava,humanevaljava,CYCPATTERN_CHECK,BF,14,16794,5,2,0,18,
humanevaljava,humanevaljava,DECIMAL_TO_BINARY,BF,12,12484,4,0,1,13,
humanevaljava,humanevaljava,DECODE_CYCLIC,BF,12,15840,5,2,0,16,
humanevaljava,humanevaljava,DECODE_SHIFT,BF,15,19110,5,0,0,15,
humanevaljava,humanevaljava,DERIVATIVE,BF,12,13829,4,0,0,12,
humanevaljava,humanevaljava,DIGITS,BF,18,19316,5,1,0,20,
humanevaljava,humanevaljava,DIGIT_SUM,BF,12,13855,5,2,0,16,
humanevaljava,humanevaljava,DOUBLE_THE_DIFFERENCE,BF,12,14085,4,0,1,13,
humanevaljava,humanevaljava,DO_ALGEBRA,BF,18,26988,5,1,0,20,
humanevaljava,humanevaljava,EAT,BF,10,14117,4,0,0,10,
humanevaljava,humanevaljava,ENCODE,BF,8,16144,5,2,2,12,
humanevaljava,humanevaljava,ENCRYPT,BF,18,18234,6,0,0,18,
humanevaljava,humanevaljava,EVEN_ODD_COUNT,BF,2,10508,3,7,0,16,
humanevaljava,humanevaljava,EVEN_ODD_PALINDROME,BF,12,24987,5,0,0,12,
humanevaljava,humanevaljava,EXCHANGE,BF,4,16209,5,7,0,18,
humanevaljava,humanevaljava,FACTORIAL,BF,12,16669,3,0,0,12,
humanevaljava,humanevaljava,FACTORIZE,BF,16,14887,4,0,0,16,
humanevaljava,humanevaljava,FIB,BF,12,7537,3,0,0,12,
humanevaljava,humanevaljava,FIB4,BF,12,15657,3,0,0,12,
humanevaljava,humanevaljava,FIBFIB,BF,16,14725,4,0,0,16,
humanevaljava,humanevaljava,FILE_NAME_CHECK,BF,13,23859,5,0,2,14,
humanevaljava,humanevaljava,FILTER_BY_PREFIX,BF,14,13770,5,0,0,14,
humanevaljava,humanevaljava,FILTER_BY_SUBSTRING,BF,6,10651,4,0,0,6,
humanevaljava,humanevaljava,FILTER_INTEGERS,BF,6,8067,4,0,0,6,
humanevaljava,humanevaljava,FIND_CLOSEST_ELEMENTS,BF,7,13253,5,2,0,11,
humanevaljava,humanevaljava,FIND_MAX,BF,12,20042,5,2,0,16,
humanevaljava,humanevaljava,FIND_ZERO,BF,4,10410,5,4,0,12,
humanevaljava,humanevaljava,FIX_SPACES,BF,15,20255,4,0,1,15,
humanevaljava,humanevaljava,FIZZ_BUZZ,BF,10,15025,5,5,0,20,
humanevaljava,humanevaljava,FLIP_CASE,BF,8,9045,3,0,0,8,
humanevaljava,humanevaljava,FRUIT_DISTRIBUTION,BF,16,15645,4,0,0,16,
humanevaljava,humanevaljava,GENERATE_INTEGERS,BF,9,15957,5,4,0,17,
humanevaljava,humanevaljava,GET_CLOSET_VOWEL,BF,15,20512,5,0,0,15,
humanevaljava,humanevaljava,GET_MAX_TRIPLES,BF,12,18570,4,1,0,14,
humanevaljava,humanevaljava,GET_ODD_COLLATZ,BF,11,16277,3,1,0,13,
humanevaljava,humanevaljava,GET_POSITIVE,BF,6,8242,3,0,0,6,
humanevaljava,humanevaljava,GET_ROW,BF,2,22907,6,7,3,17,
humanevaljava,humanevaljava,GREATEST_COMMON_DIVISOR,BF,14,12998,6,0,0,14,
humanevaljava,humanevaljava,HAS_CLOSE_ELEMENTS,BF,15,13994,5,0,0,15,
humanevaljava,humanevaljava,HEX_KEY,BF,12,18332,5,0,0,12,
humanevaljava,humanevaljava,HISTOGRAM,BF,16,24979,4,0,0,16,
humanevaljava,humanevaljava,HOW_MANY_TIMES,BF,7,12023,5,6,0,19,
humanevaljava,humanevaljava,INCR_LIST,BF,8,7312,2,0,0,8,
humanevaljava,humanevaljava,INTERSECTION,BF,3,18362,4,10,0,23,
humanevaljava,humanevaljava,INTERSPERSE,BF,12,11473,3,0,0,12,
humanevaljava,humanevaljava,INT_TO_MINI_ROMAN,BF,11,15511,4,0,0,11,
humanevaljava,humanevaljava,ISCUBE,BF,7,13435,5,5,0,17,
humanevaljava,humanevaljava,IS_BORED,BF,8,11637,4,2,1,12,
humanevaljava,humanevaljava,IS_EQUAL_TO_SUM_EVEN,BF,4,6504,4,3,0,10,
humanevaljava,humanevaljava,IS_HAPPY,BF,12,15608,5,0,0,12,
humanevaljava,humanevaljava,IS_MULTIPLY_PRIME,BF,6,14926,5,4,0,14,
humanevaljava,humanevaljava,IS_NESTED,BF,0,517603,,360,0,4503,
humanevaljava,humanevaljava,IS_PALINDROME,BF,15,12274,5,0,0,15,
humanevaljava,humanevaljava,IS_PRIME,BF,6,8743,4,0,0,6,
humanevaljava,humanevaljava,IS_SIMPLE_POWER,BF,15,18295,5,2,0,19,
humanevaljava,humanevaljava,IS_SORTED,BF,17,29774,6,0,1,17,
